POINT_1_STREET,DURATION_IN_SEC,POINT_1_NAME,POINT_1_CITY,POINT_2_NAME,POINT_2_LNG,POINT_2_STREET,NDT_IN_KMH,POINT_2_POSTAL_CODE,POINT_2_COUNTRY,POINT_1_STREET_NUMBER,ORGANISATION,POINT_1_LAT,POINT_2_LAT,POINT_1_POSTAL_CODE,POINT_2_STREET_NUMBER,POINT_2_CITY,extID,ROAD_TYPE,POINT_1_LNG,REPORT_ID,POINT_1_COUNTRY,DISTANCE_IN_METERS,REPORT_NAME,RBA_ID,_id
Grenåvej,37,4567,Risskov,4565,10.250786139881143,Ålykkevej,58,8240,Denmark,41,COWI,56.20043625463636,56.20251117218925,8240,41,Risskov,380,MAJOR_ROAD,10.241989084655756,190663,Denmark,591,AAR_BT_0288 4567 4565,192386,1787
Paludan-Müllers Vej,98,4363,Aarhus,2658,10.18461071717934,Hasle Ringvej,29,8200,Denmark,231,COWI,56.179322409643085,56.178623267668705,8200,231,Aarhus,447,MAJOR_ROAD,10.175338207340246,195339,Denmark,800,AAR_BT_0367 4363 2658,229178,1854
Åby Ringvej,86,2655,Aarhus,4331,10.139116813491796,Edwin Rahrs Vej,45,8220,Denmark,0,COWI,56.16798814878688,56.1627072781356,8210,6B,Aarhus,456,MAJOR_ROAD,10.151387677246134,195578,Denmark,1074,AAR_BT_0376 2655 4331,229196,1863
Viborgvej,141,4335,Tilst,4329,10.101564720237775,Anelystvej,22,8381,Denmark,389,COWI,56.182637286706964,56.18277313796047,8381,389,Tilst,462,MAJOR_ROAD,10.113531440475526,195737,Denmark,863,AAR_BT_0382 4335 4329,229208,1869
Søndre Ringgade,62,3979,Aarhus,3989,10.1989185595246,Marselis Boulevard,29,8000,Denmark,15,COWI,56.1417522836526,56.14063267124548,8000,15,Aarhus,575,MAJOR_ROAD,10.192723647815683,206131,Denmark,505,AAR_BT_0495 3979 3989,229615,1982
Viby Ringvej,108,2653,Aarhus,2654,10.143520804893456,Åby Ringvej,48,8230,Denmark,0,COWI,56.148242094184255,56.16018043015113,8230,0,Aarhus,226,MAJOR_ROAD,10.149874309192683,180627,Denmark,1450,AAR_BT_0133 2653 2654,182200,1633
Hasle Ringvej,73,2656,Aarhus,3158,10.161062711639374,Viborgvej,39,8210,Denmark,27,COWI,56.17312782176926,56.169148028055325,8210,165-167,Aarhus,299,MAJOR_ROAD,10.161757688325906,185343,Denmark,781,AAR_BT_0206 2656 3158,186251,1706
Christian X's Vej,117,4550,Højbjerg,4563,10.167441665012348,Christian X's Vej,43,8270,Denmark,205,COWI,56.1102508220387,56.12004117576438,8270,169,Højbjerg,499,MAJOR_ROAD,10.153714822090137,198059,Denmark,1383,AAR_BT_0419 4550 4563,229463,1906
Marselis Boulevard,127,3989,Aarhus,4375,10.20776318039134,Strandvejen,27,8000,Denmark,15,COWI,56.14063267124548,56.136738858609256,8000,21,Aarhus,562,MAJOR_ROAD,10.1989185595246,204113,Denmark,944,AAR_BT_0482 3989 4375,229589,1969
Ringvej Syd,88,4371,Højbjerg,4372,10.206927436840033,Oddervej,37,8270,Denmark,172,COWI,56.10480213435411,56.105069529457616,8270,172,Højbjerg,563,MAJOR_ROAD,10.198804084655762,204140,Denmark,909,AAR_BT_0483 4371 4372,229591,1970
Oddervej,72,4372,Højbjerg,4371,10.198804084655762,Ringvej Syd,44,8270,Denmark,172,COWI,56.105069529457616,56.10480213435411,8270,172,Højbjerg,564,MAJOR_ROAD,10.206927436840033,204166,Denmark,886,AAR_BT_0484 4372 4371,229593,1971
Ringvej Syd,84,4371,Højbjerg,4378,10.209020390213027,Oddervej,42,8270,Denmark,0,COWI,56.10480213435411,56.09926842434083,8270,206,Højbjerg,565,MAJOR_ROAD,10.198804084655762,204193,Denmark,979,AAR_BT_0485 4371 4378,229595,1972
Søndre Ringgade,68,3197,Aarhus,3979,10.192723647815683,Søndre Ringgade,30,8000,Denmark,63,COWI,56.14563850929,56.1417522836526,8000,15,Aarhus,571,MAJOR_ROAD,10.186762304229774,206025,Denmark,569,AAR_BT_0491 3197 3979,229607,1978
Søren Frichs Vej,91,3984,Aarhus,2652,10.154132957008414,Viby Ringvej,43,8230,Denmark,80,COWI,56.14774074192765,56.1404960893661,8230,104,Aarhus,316,MAJOR_ROAD,10.158060728836062,187297,Denmark,1093,AAR_BT_0223 3984 2652,189686,1723
Nørrebrogade,76,3152,Aarhus,3183,10.209275766864721,Nordre Ringgade,33,8200,Denmark,44,COWI,56.16816672029917,56.17235120664372,8000,64B,Aarhus,330,MAJOR_ROAD,10.207060089618722,187668,Denmark,691,AAR_BT_0237 3152 3183,189714,1737
Viborgvej,34,4339,Aarhus,4342,10.130153804893553,Viborgvej,59,8210,Denmark,280,COWI,56.17741297116948,56.17941549701764,8210,295,Aarhus,430,MAJOR_ROAD,10.138403402446784,194878,Denmark,557,AAR_BT_0350 4339 4342,229144,1837
Genvejen,52,4560,Stavtrup,4549,10.083678288360602,Genvejen,77,8361,Denmark,46,COWI,56.121379546124246,56.11996007421442,8260,46,Hasselager,477,MAJOR_ROAD,10.066129804893535,197463,Denmark,1110,AAR_BT_0397 4560 4549,229238,1884
Marselis Boulevard,48,4367,Aarhus,3190,10.20872971106246,Strandvejen,36,8000,Denmark,0,COWI,56.14171141881423,56.144719132186395,8000,36,Aarhus,588,MAJOR_ROAD,10.204415905418273,206475,Denmark,476,AAR_BT_0508 4367 3190,229641,1995
Viby Ringvej,58,2653,Aarhus,2652,10.154132957008414,Viby Ringvej,57,8230,Denmark,0,COWI,56.148158423711955,56.1404960893661,8230,104,Aarhus,227,MAJOR_ROAD,10.149694601188685,180655,Denmark,913,AAR_BT_0134 2653 2652,182202,1634
Silkeborgvej,90,3200,Aarhus,2654,10.143520804893456,Åby Ringvej,42,8230,Denmark,521,COWI,56.153135887760996,56.16018043015113,8220,521,Aarhus,306,MAJOR_ROAD,10.139060373016491,187032,Denmark,1055,AAR_BT_0213 3200 2654,189666,1713
Kystvejen,199,3187,Aarhus,3189,10.209599775463175,Spanien,27,8000,Denmark,59,COWI,56.161597269074186,56.14892750591274,8000,63,Aarhus,203,MAJOR_ROAD,10.215389695770227,178929,Denmark,1489,AAR_BT_0110 3187 3189,180137,1610
Silkeborgvej,100,3200,Aarhus,3199,10.157440224536913,Silkeborgvej,41,8230,Denmark,521,COWI,56.153135887760996,56.154610138216704,8220,303,Aarhus,267,MAJOR_ROAD,10.139060373016491,183037,Denmark,1152,AAR_BT_0174 3200 3199,183603,1674
Skanderborgvej,55,3150,Aarhus,4373,10.179150601188667,Skanderborgvej,43,8260,Denmark,26,COWI,56.14258759218248,56.13844851575673,8000,106,Aarhus,276,MAJOR_ROAD,10.186756880950952,184729,Denmark,660,AAR_BT_0183 3150 4373,186205,1683
Vejlby Ringvej,85,2661,Risskov,4581,10.21908612268453,Grenåvej,41,8240,Denmark,0,COWI,56.18696229571611,56.19369241581476,8240,0,Risskov,282,MAJOR_ROAD,10.212459373016372,184892,Denmark,966,AAR_BT_0189 2661 4581,186217,1689
Nordre Ringgade,89,3191,Aarhus,3977,10.201770887067823,Randersvej,30,8200,Denmark,0,COWI,56.171122550932225,56.17606861552515,8000,54,Aarhus,331,MAJOR_ROAD,10.201447428241636,187695,Denmark,752,AAR_BT_0238 3191 3977,189716,1738
Nørrebrogade,90,3152,Aarhus,3191,10.201380373016264,Nordre Ringgade,26,8000,Denmark,44,COWI,56.16816672029917,56.17122707649042,8000,3,Aarhus,334,MAJOR_ROAD,10.207060089618722,187774,Denmark,643,AAR_BT_0241 3152 3191,189722,1741
Viborgvej,67,3156,Aarhus,3193,10.18616224669654,Vestre Ringgade,38,8210,Denmark,14,COWI,56.159418709313904,56.16389697427008,8000,53,Aarhus,342,MAJOR_ROAD,10.187763760747885,187986,Denmark,707,AAR_BT_0249 3156 3193,189738,1749
Grenåvej,34,4582,Risskov,3181,10.21780255092608,Grenåvej,43,8240,Denmark,125,COWI,56.18655111946821,56.18290049276627,8240,105,Risskov,195,MAJOR_ROAD,10.218124775463139,178713,Denmark,406,AAR_BT_0102 4582 3181,180121,1602
Randersvej,37,4362,Aarhus,4350,10.175406949737521,Søftenvej,69,8200,Denmark,0,COWI,56.19922307868954,56.20417258212644,8200,0,Aarhus,184,MAJOR_ROAD,10.182444749668093,159043,Denmark,713,AAR_BT_0025 4362 4350,161251,1591
Randersvej,46,3155,Århus N,3154,10.198778699405693,Randersvej,40,8200,Denmark,141,COWI,56.18461478101305,56.18028339302693,8200,164,Aarhus,247,MAJOR_ROAD,10.195804343585905,181197,Denmark,516,AAR_BT_0154 3155 3154,182242,1654
Randersvej,64,3154,Aarhus,2660,10.200790644180302,Vejlby Ringvej,27,8200,Denmark,164,COWI,56.1803125039424,56.18324423193787,8200,20,Aarhus,288,MAJOR_ROAD,10.19893292642405,185051,Denmark,473,AAR_BT_0195 3154 2660,186229,1695
Viborgvej,63,3158,Aarhus,2656,10.161823402446771,Hasle Ringvej,42,8210,Denmark,165-167,COWI,56.169148028055325,56.17304495205962,8210,36,Aarhus,300,MAJOR_ROAD,10.161062711639374,185369,Denmark,742,AAR_BT_0207 3158 2656,186253,1707
Åby Ringvej,131,2654,Aarhus,3199,10.157440224536913,Silkeborgvej,44,8230,Denmark,0,COWI,56.1601908856982,56.154610138216704,8230,303,Aarhus,307,MAJOR_ROAD,10.143257948409996,187059,Denmark,1619,AAR_BT_0214 2654 3199,189668,1714
Skejby Nordlandsvej,99,4365,Aarhus,4360,10.168842746032851,Humlehusvej,31,8200,Denmark,311,COWI,56.2049938543326,56.20114198464991,8200,16,Aarhus,392,MAJOR_ROAD,10.17926542270186,192438,Denmark,843,AAR_BT_0300 4365 4360,229068,1799
Skejby Nordlandsvej,188,4365,Aarhus,4358,10.21333293005955,Sindalsvej,44,8240,Denmark,311,COWI,56.2049938543326,56.210237386910975,8200,40,Risskov,393,MAJOR_ROAD,10.17926542270186,192466,Denmark,2274,AAR_BT_0301 4365 4358,229070,1800
Rosenvangs Alle,165,4556,Aarhus,4548,10.187329678573633,Jyllands Alle,31,8270,Denmark,30,COWI,56.13417989322382,56.12994000000001,8260,105,Højbjerg,553,MAJOR_ROAD,10.17948788343233,203875,Denmark,1431,AAR_BT_0473 4556 4548,229571,1960
Nørrebrogade,92,3152,Aarhus,3977,10.201770887067823,Randersvej,37,8200,Denmark,44,COWI,56.16816672029917,56.17606861552515,8000,54,Aarhus,252,MAJOR_ROAD,10.207060089618722,181331,Denmark,938,AAR_BT_0159 3152 3977,182252,1659
Vejlby Ringvej,51,2660,Aarhus,3155,10.19604842460626,Randersvej,32,8200,Denmark,20,COWI,56.1833360361296,56.184659561973874,8200,20,Aarhus,285,MAJOR_ROAD,10.200700790178303,184972,Denmark,458,AAR_BT_0192 2660 3155,186223,1692
Randersvej,62,3155,Århus N,2659,10.192792014715224,Hasle Ringvej,31,8200,Denmark,141,COWI,56.18461478101305,56.181459995226994,8200,141,Aarhus,290,MAJOR_ROAD,10.195804343585905,185104,Denmark,541,AAR_BT_0197 3155 2659,186233,1697
Grenåvej,58,4353,Ega,4569,10.267205839286817,Grenåvej,51,8250,Denmark,481,COWI,56.21163929866206,56.207098572394976,8250,481,Ega,373,MAJOR_ROAD,10.277436490737955,190475,Denmark,829,AAR_BT_0281 4353 4569,192372,1780
Grenåvej,38,4578,Ega,4569,10.267323856483472,Grenåvej,51,8250,Denmark,402,COWI,56.20482701617347,56.206985193530365,8250,440,Ega,376,MAJOR_ROAD,10.259584355819698,190555,Denmark,535,AAR_BT_0284 4578 4569,192378,1783
Ålykkevej,36,4565,Risskov,4578,10.259584355819698,Grenåvej,60,8250,Denmark,41,COWI,56.20251117218925,56.20482701617347,8240,402,Ega,378,MAJOR_ROAD,10.250786139881143,190609,Denmark,602,AAR_BT_0286 4565 4578,192382,1785
Lystrupvej,136,4346,Lystrup,4340,10.236217525131224,Lystrupvej,36,8240,Denmark,201,COWI,56.21728389714838,56.205074,8520,42,Risskov,389,MAJOR_ROAD,10.233619432540877,190908,Denmark,1377,AAR_BT_0297 4346 4340,192404,1796
Lystrupvej,130,4340,Risskov,4346,10.233619432540877,Lystrupvej,38,8520,Denmark,42,COWI,56.205074,56.21728389714838,8240,201,Lystrup,390,MAJOR_ROAD,10.236217525131224,190934,Denmark,1383,AAR_BT_0298 4340 4346,192406,1797
Grenåvej,78,4567,Risskov,4340,10.236217525131224,Lystrupvej,43,8240,Denmark,0,COWI,56.20056009742038,56.205074,8240,42,Risskov,410,MAJOR_ROAD,10.241876431877131,192919,Denmark,925,AAR_BT_0330 4567 4340,229104,1817
Nørreport,202,4374,Aarhus,3189,10.209599775463175,Spanien,27,8000,Denmark,93,COWI,56.161017815103236,56.14892750591274,8000,63,Aarhus,359,MAJOR_ROAD,10.21197608217426,190100,Denmark,1490,AAR_BT_0266 4374 3189,192344,1766
Skanderborgvej,115,3150,Aarhus,3990,10.186664830688414,Marselis Boulevard,26,8000,Denmark,26,COWI,56.14258759218248,56.139477887997344,8000,135,Aarhus,362,MAJOR_ROAD,10.186756880950952,190179,Denmark,822,AAR_BT_0269 3150 3990,192350,1769
Skanderborgvej,61,3150,Aarhus,3988,10.177235595245293,Marselis Boulevard,43,8000,Denmark,26,COWI,56.14258759218248,56.13962771141822,8000,174,Aarhus,366,MAJOR_ROAD,10.186756880950952,190285,Denmark,734,AAR_BT_0273 3150 3988,192358,1773
Haveforening Af 1918,50,3988,Aarhus,4373,10.179150601188667,Skanderborgvej,30,8260,Denmark,4,COWI,56.13953206657349,56.13844851575673,8000,106,Aarhus,367,MAJOR_ROAD,10.177203408737114,190312,Denmark,422,AAR_BT_0274 3988 4373,192360,1774
Jyllands Alle,86,4548,Højbjerg,4568,10.185914784061424,Vestavej,33,8270,Denmark,105,COWI,56.12994000000001,56.12391430736949,8270,2,Højbjerg,558,MAJOR_ROAD,10.187329678573633,204007,Denmark,798,AAR_BT_0478 4548 4568,229581,1965
Vestre Ringgade,67,3192,Aarhus,3193,10.185844404928275,Vestre Ringgade,44,8210,Denmark,61,COWI,56.16945046812791,56.163969409207326,8200,53,Aarhus,237,MAJOR_ROAD,10.194338714120931,180926,Denmark,813,AAR_BT_0144 3192 3193,182222,1644
Kystvejen,62,3187,Aarhus,4374,10.2121812711639,Nørreport,19,8000,Denmark,59,COWI,56.161597269074186,56.16107681293822,8000,18,Aarhus,358,MAJOR_ROAD,10.215389695770227,190073,Denmark,333,AAR_BT_0265 3187 4374,192342,1765
Hasle Ringvej,43,2657,Aarhus,2656,10.161757688325906,Hasle Ringvej,54,8210,Denmark,0,COWI,56.17505006362324,56.17312782176926,8210,27,Aarhus,219,MAJOR_ROAD,10.171526038028787,179364,Denmark,641,AAR_BT_0126 2657 2656,180169,1626
Nørrebrogade,79,3152,Aarhus,4374,10.21197608217426,,39,8000,Denmark,45,COWI,56.16813760017301,56.161017815103236,8000,0,Aarhus,253,MAJOR_ROAD,10.20690854480938,182657,Denmark,852,AAR_BT_0160 3152 4374,183575,1660
Skanderborgvej,88,3986,Aarhus,4559,10.142859364417973,Skanderborgvej,48,8260,Denmark,222,COWI,56.125829583613914,56.11919616177176,8260,222,Aarhus,486,MAJOR_ROAD,10.157709017196566,197705,Denmark,1181,AAR_BT_0406 3986 4559,229437,1893
Jyllands Alle,48,4554,Aarhus,4548,10.187329678573633,Jyllands Alle,42,8270,Denmark,105,COWI,56.13458495857738,56.12994000000001,8000,105,Højbjerg,508,MAJOR_ROAD,10.189857330024779,198301,Denmark,554,AAR_BT_0428 4554 4548,229481,1915
Vestavej,131,4568,Højbjerg,4368,10.202164315973278,Rosenvangs Alle,37,8270,Denmark,2,COWI,56.12391430736949,56.11692219631463,8270,233,Højbjerg,511,MAJOR_ROAD,10.185914784061424,201211,Denmark,1333,AAR_BT_0431 4568 4368,229487,1918
Ringvej Syd,163,4334,Aarhus,4563,10.167441665012348,Christian X's Vej,43,8270,Denmark,0,COWI,56.11814500000001,56.12004117576438,8260,169,Højbjerg,541,MAJOR_ROAD,10.148131067458962,203557,Denmark,1943,AAR_BT_0461 4334 4563,229547,1948
Christian X's Vej,163,4563,Højbjerg,4334,10.148353690807198,Ringvej Syd,42,8260,Denmark,169,COWI,56.12004117576438,56.118198830180894,8270,100,Aarhus,542,MAJOR_ROAD,10.167441665012348,203583,Denmark,1907,AAR_BT_0462 4563 4334,229549,1949
Skanderborgvej,112,3987,Aarhus,4556,10.17948788343233,Rosenvangs Alle,42,8260,Denmark,169,COWI,56.13096577062022,56.13417989322382,8260,30,Aarhus,548,MAJOR_ROAD,10.166318618385276,203742,Denmark,1309,AAR_BT_0468 3987 4556,229561,1955
Paludan-Müllers Vej,80,3983,Aarhus,2657,10.171526038028787,Hasle Ringvej,40,8210,Denmark,48,COWI,56.17389164456407,56.17505006362324,8200,48,Aarhus,296,MAJOR_ROAD,10.182183959489976,185263,Denmark,880,AAR_BT_0203 3983 2657,186245,1703
Nordre Ringgade,93,3183,Aarhus,3977,10.201770887067823,Randersvej,31,8200,Denmark,64B,COWI,56.17243586196818,56.17606861552515,8200,54,Aarhus,327,MAJOR_ROAD,10.209219127208598,187589,Denmark,802,AAR_BT_0234 3183 3977,189708,1734
Randersvej,97,3977,Aarhus Municipality,3183,10.209275766864721,Nordre Ringgade,31,8200,Denmark,51,COWI,56.176038754874654,56.17235120664372,8200,64B,Aarhus,328,MAJOR_ROAD,10.201616660049467,187615,Denmark,839,AAR_BT_0235 3977 3183,189710,1735
